,criteria,threshold,sensitivity,specificity,precision
0,SIRS(score),0,1.0,0.0,0.001999464363675052
1,SIRS(score),1,0.7875229357798165,0.6693531548222977,0.004749132497698464
2,SIRS(score),2,0.46275229357798164,0.9191899363300837,0.01134258009966359
3,SIRS(score),3,0.18238532110091743,0.9878078727189848,0.029098360655737704
4,SIRS(score),4,0.03963302752293578,0.998531768788507,0.05130641330166271
5,mews(score),0,1.0,0.0,0.001999464363675052
6,mews(score),1,0.9948623853211009,0.00431793785933801,0.0019978216301222273
7,mews(score),2,0.5603669724770642,0.7366006440513476,0.004244177805201411
8,mews(score),3,0.2656880733944954,0.9596497419383299,0.01302017767866777
9,mews(score),4,0.11559633027522936,0.9927264840384078,0.030858150470219437
10,mews(score),5,0.05174311926605504,0.9983354654667902,0.05862785862785863
11,mews(score),6,0.01981651376146789,0.9995926889878983,0.08881578947368421
12,mews(score),7,0.003669724770642202,0.999914714661726,0.07936507936507936
13,mews(score),8,0.0,0.9999867660681988,0.0
14,mews(score),9,0.0,0.9999977943446998,0.0
15,mews(score),10,0.0,0.9999992647815666,0.0
16,sofa(score)_x,0,1.0,0.0,0.001999464363675052
17,sofa(score)_x,1,0.7717431192660551,0.575690737718176,0.0036307259898173934
18,sofa(score)_x,2,0.6003669724770642,0.7920177334686135,0.005750014937385993
19,sofa(score)_x,3,0.3570642201834862,0.9203758436631523,0.008904303899407905
20,sofa(score)_x,4,0.21321100917431193,0.9712757510256297,0.014653215636822195
21,sofa(score)_x,5,0.11669724770642202,0.9918552501948329,0.027904527904527906
22,sofa(score)_x,6,0.06788990825688074,0.9966819592100813,0.039378458918688804
23,sofa(score)_x,7,0.038899082568807336,0.9985575014336759,0.05125725338491296
24,sofa(score)_x,8,0.01798165137614679,0.9993309512256091,0.051094890510948905
25,sofa(score)_x,9,0.007339449541284404,0.9998132545179172,0.072992700729927
26,sofa(score)_x,10,0.0014678899082568807,0.99992206684606,0.03636363636363636
27,sofa(score)_x,11,0.0,0.9999772082285647,0.0
28,sofa(score)_x,12,0.0,0.999996323907833,0.0
